model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.0010840761262346423,0.008190797398217297,0.9722958323295592,0.018429294145988918,0.9733799084557938,0.06811056272783916,0.07531380753138074,0.0774406417804231,0.9813981762917933,0.05555555555555555,0.11688311688311688
logisticRegression,0.001276120593396076,0.008773329079598022,0.8924868400063806,0.0974637103206253,0.8937629605997767,0.009539461637465078,0.02346041055718475,0.006817280384872299,0.9015468901063487,0.012924071082390954,0.12698412698412698
knn,0.00011911852293031566,0.009529481834425254,0.9903513996426444,0.0,0.9904705181655747,0.11058036477036706,0.024390243902439022,0.02438452107908985,1.0,1.0,0.012345679012345678
svm_linear,0.0008818342151675485,0.009112286890064668,0.9154908877131099,0.07451499118165784,0.9163727219282775,0.004885538322095512,0.02065404475043029,0.003426496741655413,0.9247327790973872,0.011695906432748537,0.08823529411764706
svm_2,0.0012323702587977543,0.008489661782828974,0.9337258660824319,0.056552101875941396,0.9349582363412297,0.029289896826422357,0.03651115618661258,0.023993251164358635,0.9428926991150443,0.02132701421800948,0.1267605633802817
svm_3,0.00076103500761035,0.008878741755454084,0.9644850329781837,0.0258751902587519,0.965246067985794,0.0320521506543319,0.04195804195804195,0.030979832073970478,0.9738729508196722,0.02857142857142857,0.07894736842105263
svm_rbf,0.000946969696969697,0.008116883116883116,0.9310064935064936,0.05992965367965368,0.9319534632034632,0.017439873064768723,0.027079303675048357,0.01595459361372949,0.9395221843003413,0.015555555555555555,0.1044776119402985
naiveBayes,0.0018738288569643974,0.006870705808869456,0.9531542785758901,0.038101186758276076,0.9550281074328545,0.08357261841479974,0.07692307692307691,0.11270083941500562,0.9615626969124134,0.046875,0.21428571428571427
random_forest,0.0008623663332183512,0.009830976198689204,0.951362538806485,0.03794411866160745,0.9522249051397034,0.022522242983553636,0.03484320557491289,0.020327813016558248,0.9616457461645747,0.022222222222222223,0.08064516129032258
ridgeClassifierCV,0.0005188516084399862,0.009512279488066412,0.9040124524386025,0.08595641646489104,0.9045313040470425,-0.012445919963604784,0.010752688172043012,-0.010082169595692369,0.913172606568833,0.006,0.05172413793103448
passiveAggressiveClassifier,0.0003179650238473768,0.00794912559618442,0.9750397456279809,0.016693163751987282,0.9753577106518283,0.015145154611098303,0.025157232704402514,0.016332573660698697,0.9831676819493428,0.018691588785046728,0.038461538461538464
