model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.0002409058058299205,0.006865815466152734,0.9779571187665623,0.014936159961455071,0.9781980245723922,0.012955225178144476,0.021621621621621623,0.03179942435066061,0.9849569331554046,0.015873015873015872,0.03389830508474576
logisticRegression,0.001914180890094114,0.00622108789280587,0.8554793427978944,0.1363853884192056,0.8573935236879885,0.0254459392161986,0.026143790849673203,0.013738124613752302,0.8624959794146028,0.01384083044982699,0.23529411764705882
svm_linear,0.0011757789535567313,0.007054673721340388,0.8750734861845973,0.11669606114050558,0.876249265138154,0.007058626759738838,0.01864801864801865,0.0037270587203582363,0.8823355068168346,0.00997506234413965,0.14285714285714285
svm_2,0.0009585102012871423,0.006161851293988772,0.8722442831712994,0.12063535533342462,0.8732027933725867,0.0033741225962396005,0.014893617021276593,0.001869643678808449,0.8784995173079575,0.007882882882882882,0.1346153846153846
svm_3,0.0006341958396752917,0.006595636732623034,0.9596651445966514,0.033105022831050226,0.9602993404363267,0.025512827607737838,0.03095975232198142,0.029548153697173448,0.9666538903794557,0.018796992481203006,0.08771929824561403
svm_rbf,0.0012175324675324675,0.006087662337662338,0.8559253246753247,0.1367694805194805,0.8571428571428571,0.007133553417644311,0.01675977653631285,0.0034886463576740165,0.8622240392477515,0.008823529411764706,0.16666666666666666
naiveBayes,0.003123048094940662,0.006246096189881324,0.8276077451592755,0.16302311055590257,0.8307307932542161,0.04368243883036421,0.03558718861209965,0.023145145716418642,0.8354350567465322,0.018796992481203006,0.3333333333333333
random_forest,0.0010348395998620215,0.0070714039323904795,0.8930665746809244,0.09882718178682304,0.8941014142807865,0.008381641748710904,0.019169329073482427,0.004868715019166347,0.9003651538862807,0.010362694300518135,0.1276595744680851
ridgeClassifierCV,0.0008647526807333103,0.007263922518159807,0.9128329297820823,0.07903839501902456,0.9136976824628157,0.008840945444862988,0.019646365422396856,0.005565278724100302,0.9203138622493461,0.010822510822510822,0.10638297872340426
passiveAggressiveClassifier,0.0006359300476947536,0.005723370429252782,0.9484896661367249,0.045151033386327505,0.9491255961844197,0.02074914122118226,0.024390243902439022,0.015902403081615238,0.95456,0.013888888888888888,0.1
