model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.0006022645145748012,0.009033967718622018,0.9722958323295592,0.018067935437244036,0.972898096844134,0.031940651367179045,0.0425531914893617,0.0341435436330091,0.9817562636828022,0.03225806451612903,0.0625
logisticRegression,0.002233211038443133,0.007337693412027437,0.7964587653533259,0.19397033019620355,0.798691976391769,0.009190959400640498,0.02170542635658915,0.004569359314707343,0.804155258495732,0.011382113821138212,0.23333333333333334
svm_linear,0.0023515579071134627,0.007789535567313345,0.7842445620223398,0.2056143445032334,0.7865961199294532,0.005965068354988003,0.021563342318059297,0.002872543634958516,0.792279138827023,0.011307420494699646,0.2318840579710145
svm_2,0.0017800903738189786,0.008078871696563057,0.8438997672189511,0.14624127071066684,0.8456798575927701,0.009141776008942977,0.022549869904596703,0.005255815861184032,0.8523025860876781,0.012025901942645698,0.18055555555555555
svm_3,0.001141552511415525,0.008625063419583967,0.9223744292237442,0.06785895484525621,0.9235159817351598,0.01876204699503512,0.02898550724637681,0.014133169188640955,0.9314717561163058,0.016544117647058824,0.11688311688311688
svm_rbf,0.0021645021645021645,0.008116883116883116,0.8616071428571429,0.12811147186147187,0.863771645021645,0.024299309917237267,0.030798845043310874,0.015195330984804668,0.8705576817933297,0.016614745586708203,0.21052631578947367
naiveBayes,0.003123048094940662,0.009993753903810118,0.8650843222985634,0.12179887570268583,0.868207370393504,0.03946230099423473,0.04524886877828054,0.026078702164772163,0.8765822784810127,0.025,0.23809523809523808
random_forest,0.005174197999310107,0.0070714039323904795,0.5277681959296309,0.45998620213866853,0.532942393928941,-0.00951521824337157,0.021676300578034685,-0.004408360887159075,0.5343111576741749,0.011123470522803115,0.4225352112676056
ridgeClassifierCV,0.0036319612590799033,0.007782774126599792,0.737461086129367,0.25112417848495333,0.741093047388447,0.01564153770701483,0.027290448343079924,0.007715162474551344,0.7459762071378586,0.014256619144602852,0.3181818181818182
passiveAggressiveClassifier,0.0011128775834658188,0.007313195548489666,0.7077901430842607,0.28378378378378377,0.7089030206677266,-0.03121084710896773,0.007588075880758808,-0.012614189663475526,0.7138047138047138,0.00390625,0.1320754716981132
