model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.000481811611659841,0.007949891592387376,0.972898096844134,0.018670199951818837,0.9733799084557938,0.025560376614697945,0.034934497816593885,0.025695876648618953,0.9811710398445093,0.025157232704402517,0.05714285714285714
logisticRegression,0.0014356356675705854,0.007337693412027437,0.8951985962673472,0.09602807465305471,0.8966342319349179,0.020990387799170764,0.02702702702702703,0.013961024656970966,0.9031219826198905,0.014729950900163666,0.16363636363636364
svm_linear,0.0008818342151675485,0.007789535567313345,0.9247501469723692,0.06657848324514991,0.9256319811875368,0.01276563455709537,0.02316602316602317,0.00885974107353527,0.9328391401037806,0.013071895424836602,0.1016949152542373
svm_2,0.0005477201150212241,0.008078871696563057,0.9557716007120362,0.03560180747637957,0.9563193208270574,0.01366418197737291,0.024464831804281346,0.013167432062906412,0.9640883977900553,0.015151515151515152,0.06349206349206349
svm_3,0.0002536783358701167,0.008498224251648909,0.980593607305936,0.0106544901065449,0.9808472856418062,0.016353108806344673,0.025806451612903226,0.02075778364116095,0.9892514395393474,0.023255813953488372,0.028985507246376812
svm_rbf,0.0005411255411255411,0.008252164502164502,0.9195075757575758,0.07169913419913419,0.9200487012987013,-0.0038935246566547486,0.01335559265442404,-0.00323559023408004,0.9276648014194077,0.00749063670411985,0.06153846153846154
naiveBayes,0.0012492192379762648,0.009993753903810118,0.9700187382885697,0.018738288569643973,0.9712679575265459,0.06942750378814305,0.08,0.09887048192771085,0.9810486418193304,0.0625,0.1111111111111111
random_forest,0.0018972059330803726,0.007761296998965161,0.8673680579510176,0.12297343911693688,0.869265263884098,0.021377349760035833,0.028205128205128206,0.013618425024515393,0.8758272378962034,0.015193370165745856,0.19642857142857142
ridgeClassifierCV,0.0019024558976132827,0.007090971982013144,0.8151158768592183,0.1758906952611553,0.8170183327568316,0.00840794242575618,0.020370370370370372,0.0041790698047996285,0.8225130890052356,0.010700389105058366,0.21153846153846154
passiveAggressiveClassifier,0.0003179650238473768,0.008426073131955486,0.9844197138314785,0.006836248012718601,0.9847376788553259,0.03255099481894503,0.04,0.21237468737521278,0.993103448275862,0.044444444444444446,0.03636363636363636
