model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.6915201156347868,0.1317754757889665,0.09383281137075404,0.08287159720549266,0.7853529270055408,0.3385068551383605,0.8656513872135102,0.39182100628398153,0.5310156782549421,0.89298491211697,0.8399414776883687
logisticRegression,0.13558781304833306,0.6648588291593556,0.1834423353006859,0.016111022491625458,0.319030148349019,0.09877151894434776,0.2848048249287988,0.5729206825857054,0.9192645883293366,0.8937960042060988,0.16939019529693106
knn,0.81131625967838,0.011911852293031567,0.04443120905300774,0.1323406789755807,0.8557474687313877,0.3918899959594774,0.9183577159037282,0.3605053746678881,0.25134770889487873,0.8597576369603636,0.9855303139921864
svm_linear,0.20899470899470898,0.5959729570840682,0.1731334509112287,0.02189888300999412,0.3821281599059377,0.13854381522061243,0.4035187287173666,0.16660876675681213,0.8877166541070083,0.90515595162317,0.2596311849552675
svm_2,0.3877858414350267,0.42927564014788444,0.11940298507462686,0.06353553334246201,0.5071888265096536,0.09890615672099157,0.6114649681528662,0.15371576630042827,0.6526946107784432,0.8592233009708737,0.4746103569632981
svm_3,0.6785895484525621,0.143455098934551,0.06684424150177574,0.1111111111111111,0.7454337899543378,0.1887532214383789,0.8420555599275991,0.22506343814175042,0.37562366357804705,0.8592997108898169,0.8254898935349483
svm_rbf,0.3053300865800866,0.50879329004329,0.15692640692640691,0.028950216450216452,0.4622564935064935,0.18083354869580726,0.53174696666274,0.36047384721451053,0.8442503639010189,0.9133953864832052,0.375041542040545
naiveBayes,0.03872579637726421,0.6302311055590256,0.2835727670206121,0.047470331043098064,0.3222985633978763,-0.14337373709678375,0.10256410256410256,-0.1944672044938688,0.8566037735849057,0.4492753623188406,0.05788982259570495
random_forest,0.057261124525698516,0.7569851672990686,0.18092445670921006,0.004829251466022766,0.2381855812349086,0.071435150302079,0.13068293642983664,0.06669432576219846,0.9740018570102136,0.9222222222222223,0.07032408388053378
ridgeClassifierCV,0.06987201660325147,0.7372881355932204,0.18609477689380838,0.00674507090971982,0.25596679349705986,0.07651919583551771,0.15812133072407042,0.08315743431743851,0.9650224215246637,0.9119638826185101,0.0865652453396186
passiveAggressiveClassifier,0.24515103338632752,0.5966613672496025,0.1287758346581876,0.029411764705882353,0.3739268680445151,0.08609025297583864,0.43919111364283675,0.09673728454432164,0.8140703517587939,0.8928778228141285,0.29121813031161475
