model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.0017745179226310187,0.0002366023896841358,0.9979888796876848,0.0,0.9997633976103159,0.9392251078644738,0.9375,1.06838905775076,1.0,1.0,0.8823529411764706
logisticRegression,0.0017745179226310187,0.0002366023896841358,0.9978705784928428,0.0001183011948420679,0.9996450964154738,0.9093325117158986,0.9090909090909091,1.0321120188601518,0.9998814604077761,0.9375,0.8823529411764706
knn,0.0014196143381048148,0.0005915059742103396,0.9979888796876848,0.0,0.9994084940257897,0.8399191780956916,0.8275862068965517,0.8343491537577113,1.0,1.0,0.7058823529411765
svm_linear,0.0017745179226310187,0.0002366023896841358,0.9979888796876848,0.0,0.9997633976103159,0.9392251078644738,0.9375,1.06838905775076,1.0,1.0,0.8823529411764706
svm_2,0.0017745179226310187,0.0002366023896841358,0.9979888796876848,0.0,0.9997633976103159,0.9392251078644738,0.9375,1.06838905775076,1.0,1.0,0.8823529411764706
svm_3,0.0016562167277889507,0.0003549035845262037,0.9979888796876848,0.0,0.9996450964154738,0.9073238966064596,0.9032258064516129,0.908153496580122,1.0,1.0,0.8235294117647058
svm_rbf,0.0008281083638944754,0.001183011948420679,0.9979888796876848,0.0,0.9988169880515794,0.6413089579841813,0.5833333333333334,3.4917218543046356,1.0,1.0,0.4117647058823529
naiveBayes,0.0017745179226310187,0.0002366023896841358,0.9926653259197918,0.0053235537678930555,0.9944398438424228,0.4680231583568024,0.38961038961038963,0.6045639713039404,0.9946657183499289,0.25,0.8823529411764706
random_forest,0.0016562167277889507,0.0003549035845262037,0.9979888796876848,0.0,0.9996450964154738,0.9073238966064596,0.9032258064516129,0.908153496580122,1.0,1.0,0.8235294117647058
ridgeClassifierCV,0.0018928191174730864,0.0001183011948420679,0.991245711581687,0.006743168105997871,0.99313853069916,0.45242990054519827,0.35555555555555557,1.1865641906549669,0.9932432432432432,0.2191780821917808,0.9411764705882353
passiveAggressiveClassifier,0.0014196143381048148,0.0005915059742103396,0.9979888796876848,0.0,0.9994084940257897,0.8399191780956916,0.8275862068965517,0.8343491537577113,1.0,1.0,0.7058823529411765
