model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.0005915059742103396,0.0014196143381048148,0.9972790725186325,0.0007098071690524074,0.9978705784928428,0.3646223842484717,0.35714285714285715,46.443708609271525,0.9992887624466572,0.45454545454545453,0.29411764705882354
logisticRegression,0.0008281083638944754,0.001183011948420679,0.9626168224299065,0.035372057257778304,0.963444930793801,0.0902593191942283,0.043343653250773995,0.04345958212157071,0.9645566619250829,0.02287581699346405,0.4117647058823529
knn,0.0003549035845262037,0.0016562167277889507,0.9979888796876848,0.0,0.9983437832722111,0.4197358823466754,0.3,0.7470775770456961,1.0,1.0,0.17647058823529413
svm_linear,0.0007098071690524074,0.001301313143262747,0.9817816159943216,0.016207263693363304,0.9824914231633739,0.11696850720465857,0.075,0.08322317225974689,0.983760075865339,0.04195804195804196,0.35294117647058826
svm_2,0.0005915059742103396,0.0014196143381048148,0.9926653259197918,0.0053235537678930555,0.9932568318940022,0.16871851161581305,0.14925373134328357,0.2520747550921657,0.9946657183499289,0.1,0.29411764705882354
svm_3,0.0005915059742103396,0.0014196143381048148,0.9932568318940022,0.004732047793682716,0.9938483378682125,0.17815693892764514,0.16129032258064516,0.2156695630482684,0.9952584163110479,0.1111111111111111,0.29411764705882354
svm_rbf,0.0004732047793682716,0.0015379155329468827,0.9923104223352656,0.005678457352419259,0.9927836271146339,0.1315544195397719,0.11594202898550726,0.15369499515735674,0.9943100995732574,0.07692307692307693,0.23529411764705882
naiveBayes,0.0020111203123151546,0.0,0.13202413344374778,0.865964746243937,0.13403525375606293,0.017507696641440276,0.004623334239869458,0.004567828350583474,0.13229018492176386,0.002317023306528554,1.0
random_forest,0.0007098071690524074,0.001301313143262747,0.9970424701289483,0.0009464095587365432,0.9977522772980008,0.3878082901569302,0.3870967741935484,0.8102143504883275,0.9990516832622096,0.42857142857142855,0.35294117647058826
ridgeClassifierCV,0.0002366023896841358,0.0017745179226310187,0.9664024606648527,0.03158641902283213,0.9666390630545368,0.02194911606019251,0.013986013986013986,0.011729683717966398,0.9683499288762447,0.007434944237918215,0.11764705882352941
passiveAggressiveClassifier,0.0004732047793682716,0.0015379155329468827,0.9938483378682125,0.004140541819472376,0.9943215426475808,0.15280730913799634,0.14285714285714282,0.21003643275780137,0.9958511142721669,0.10256410256410256,0.23529411764705882
