model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.002602626286525494,0.0028392286762096296,0.9910091091920028,0.0035490358452620373,0.9936117354785283,0.4466265818562638,0.44897959183673475,1.0420867393278836,0.996431545140954,0.4230769230769231,0.4782608695652174
logisticRegression,0.0028392286762096296,0.002602626286525494,0.9214480066248669,0.07311013841239797,0.9242872353010766,0.12447396383456842,0.0697674418604651,0.06772310649569845,0.9264898299036517,0.037383177570093455,0.5217391304347826
knn,0.0015379155329468827,0.003903939429788241,0.9938483378682125,0.0007098071690524074,0.9953862534011594,0.43791842767876016,0.39999999999999997,0.43424745113894603,0.9992863090281908,0.6842105263157895,0.2826086956521739
svm_linear,0.002484325091683426,0.0029575298710516978,0.9603690997279073,0.034189045309357624,0.9628534248195907,0.16522991023494818,0.11797752808988766,0.13252227672740527,0.9656238848578566,0.06774193548387097,0.45652173913043476
svm_2,0.002484325091683426,0.0029575298710516978,0.9770495682006388,0.01750857683662605,0.9795338932923222,0.23068470588459183,0.19534883720930232,0.24847774644258547,0.982395622695373,0.1242603550295858,0.45652173913043476
svm_3,0.0020111203123151546,0.003430734650419969,0.9886430852951614,0.0059150597421033955,0.9906542056074766,0.30166834120524133,0.3008849557522124,2.790973235285361,0.9940525752349233,0.2537313432835821,0.3695652173913043
svm_rbf,0.002720927481367562,0.002720927481367562,0.9765763634212705,0.01798178161599432,0.9792972909026381,0.24899607429172063,0.20814479638009048,0.2830473659231134,0.9819198287141667,0.13142857142857142,0.5
naiveBayes,0.0017745179226310187,0.003667337040104105,0.9626168224299065,0.03194132260735833,0.9643913403525376,0.11981837685400622,0.09063444108761329,0.10328432056160651,0.9678839062685857,0.05263157894736842,0.32608695652173914
random_forest,0.002720927481367562,0.002720927481367562,0.9908908079971608,0.003667337040104105,0.9936117354785283,0.4582938896803627,0.46,1.2006668459936067,0.9963125966456524,0.42592592592592593,0.5
ridgeClassifierCV,0.0020111203123151546,0.003430734650419969,0.9574115698568556,0.03714657518040932,0.9594226901691707,0.1260009145449913,0.09018567639257294,0.11845735742588635,0.9626501724753181,0.0513595166163142,0.3695652173913043
passiveAggressiveClassifier,0.0020111203123151546,0.003430734650419969,0.9845025434756891,0.010055601561575771,0.9865136637880043,0.24220000727820512,0.22972972972972974,0.32046928420096504,0.9898893778993696,0.16666666666666666,0.3695652173913043
