model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.00224772270199929,0.0,0.9977522772980008,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logisticRegression,0.00224772270199929,0.0,0.9914823139713711,0.006269963326629599,0.9937300366733705,0.512084551448605,0.4175824175824176,2.317063056115359,0.9937159117856296,0.2638888888888889,1.0
knn,0.0008281083638944754,0.0014196143381048148,0.9977522772980008,0.0,0.9985803856618952,0.6065456317129614,0.5384615384615384,6.517774343122102,1.0,1.0,0.3684210526315789
svm_linear,0.0021294215071572223,0.0001183011948420679,0.9973973737134745,0.0003549035845262037,0.9995267952206317,0.9008955960909221,0.9,0.9470540879561156,0.9996442968935262,0.8571428571428571,0.9473684210526315
svm_2,0.00224772270199929,0.0,0.9951496510114752,0.002602626286525494,0.9973973737134745,0.6798572070393646,0.6333333333333334,0.7879355563881604,0.9973915105525255,0.4634146341463415,1.0
svm_3,0.0021294215071572223,0.0001183011948420679,0.9955045545960014,0.00224772270199929,0.9976339761031586,0.6779923927248506,0.6428571428571428,0.6659440777757747,0.9977472136589993,0.4864864864864865,0.9473684210526315
svm_rbf,0.0017745179226310187,0.0004732047793682716,0.9945581450372649,0.0031941322607358332,0.9963326629598959,0.5295636222979291,0.4918032786885246,21.02578222778473,0.9967986720417358,0.35714285714285715,0.7894736842105263
naiveBayes,0.0005915059742103396,0.0016562167277889507,0.989471193659056,0.008281083638944753,0.9900626996332663,0.12870378671865637,0.10638297872340426,0.14779537361396602,0.9917002608489447,0.06666666666666667,0.2631578947368421
random_forest,0.00224772270199929,0.0,0.9977522772980008,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ridgeClassifierCV,0.00224772270199929,0.0,0.9291375842896014,0.06861469300839938,0.9313853069916006,0.17186681920294428,0.06148867313915857,0.06982424388185102,0.9312307327483993,0.03171953255425709,1.0
passiveAggressiveClassifier,0.0016562167277889507,0.0005915059742103396,0.9972790725186325,0.0004732047793682716,0.9989352892464214,0.7565011847003069,0.7567567567567567,0.9626798396077487,0.9995257291913683,0.7777777777777778,0.7368421052631579
