model,TP,FN,TN,FP,ACCURACY,MCC,F1,Cohen_kappa,SPECIFICITY,PRECISION,RECALL
decisionTree,0.013131432627469538,0.005560156157577192,0.9714894120430616,0.009818999171891636,0.9846208446705311,0.6263368792007562,0.6306818181818181,1.4171526447355889,0.9899939722724533,0.5721649484536082,0.7025316455696202
logisticRegression,0.012658227848101266,0.006033360936945463,0.9538625340115935,0.027445877203359753,0.9665207618596948,0.4481558065367326,0.4305835010060362,1016.0107462686567,0.9720313441832429,0.31563421828908556,0.6772151898734177
knn,0.00792618005441855,0.01076540873062818,0.980835206435585,0.0004732047793682716,0.9887613864900036,0.6285752887670157,0.5851528384279476,0.650055768448232,0.9995177817962628,0.9436619718309859,0.4240506329113924
svm_linear,0.012303324263575062,0.0063882645214716665,0.966993966639063,0.014314444575890217,0.9792972909026381,0.5415541254965824,0.5430809399477806,1.315040005612088,0.98541289933695,0.4622222222222222,0.6582278481012658
svm_2,0.007689577664734414,0.011002011120312315,0.9779959777593754,0.0033124334555779014,0.9856855554241097,0.5297491319351975,0.5179282868525896,0.660379234183808,0.9966244725738397,0.6989247311827957,0.41139240506329117
svm_3,0.007807878859576482,0.010883709925470247,0.9801253992665326,0.001183011948420679,0.9879332781261091,0.5976092983377707,0.5641025641025641,0.6368886503640097,0.9987944544906571,0.868421052631579,0.4177215189873418
svm_rbf,0.012894830237785402,0.005796758547261327,0.9681769785874837,0.013131432627469538,0.9810718088252691,0.5754517530534149,0.5767195767195767,1.6154115248456316,0.9866184448462929,0.4954545454545455,0.689873417721519
naiveBayes,0.008281083638944753,0.010410505146101976,0.9699514965101147,0.011356914704838518,0.9782325801490596,0.42114275442303856,0.43209876543209874,0.7598501482124477,0.9884267631103074,0.42168674698795183,0.4430379746835443
random_forest,0.013249733822311606,0.005441854962735124,0.9798887968768485,0.0014196143381048148,0.99313853069916,0.7968988128369036,0.7943262411347518,1.1673348106365835,0.9985533453887884,0.9032258064516129,0.7088607594936709
ridgeClassifierCV,0.009464095587365433,0.009227493197681296,0.980835206435585,0.0004732047793682716,0.9902993020229505,0.6906840085230365,0.6611570247933884,0.6968692975891153,0.9995177817962628,0.9523809523809523,0.5063291139240507
passiveAggressiveClassifier,0.008399384833786822,0.010292203951259907,0.980835206435585,0.0004732047793682716,0.9892345912693719,0.6482923498662082,0.6094420600858369,0.7023144348511211,0.9995177817962628,0.9466666666666667,0.44936708860759494
